Item	block	type	frequency	condition
1	1	word	183.45	FemSingNom
2	1	word	158.78	FemSingNom
3	1	word	25.83	FemSingNom
4	1	word	228.44	FemSingNom
5	1	word	191.35	FemSingNom
6	1	word	34.65	FemSingNom
7	1	word	138.34	FemSingNom
8	1	word	44.75	FemSingNom
9	1	word	33.6	FemSingNom
10	1	word	168.09	FemSingNom
11	1	word	55.89	FemSingNom
12	1	word	474.87	FemSingNom
13	1	word	185.41	FemSingNom
14	1	word	86.98	FemSingNom
15	1	word	53.5	FemSingNom
16	1	word	106.32	FemSingNom
17	1	word	80.13	FemSingNom
18	1	word	99.9	FemSingNom
19	1	word	29.01	FemSingNom
20	1	word	28.28	FemSingNom
21	1	word	118.26	MascSingGen
22	1	word	131.3	MascSingGen
23	1	word	125.73	MascSingGen
24	1	word	59.93	MascSingGen
25	1	word	36.42	MascSingGen
26	1	word	35.69	MascSingGen
27	1	word	137.3	MascSingGen
28	1	word	240.44	MascSingGen
29	1	word	33.73	MascSingGen
30	1	word	68.92	MascSingGen
31	1	word	111.4	MascSingGen
32	1	word	101.67	MascSingGen
33	1	word	102.34	MascSingGen
34	1	word	286.53	MascSingGen
35	1	word	111.28	MascSingGen
36	1	word	94.82	MascSingGen
37	1	word	132.58	MascSingGen
38	1	word	95.92	MascSingGen
39	1	word	86.55	MascSingGen
40	1	word	80	MascSingGen
41	2	word	111.4	MascSingNom
42	2	word	101.67	MascSingNom
43	2	word	102.34	MascSingNom
44	2	word	286.53	MascSingNom
45	2	word	111.28	MascSingNom
46	2	word	94.82	MascSingNom
47	2	word	132.58	MascSingNom
48	2	word	95.92	MascSingNom
49	2	word	86.55	MascSingNom
50	2	word	80	MascSingNom
51	2	word	118.26	MascSingNom
52	2	word	131.3	MascSingNom
53	2	word	125.73	MascSingNom
54	2	word	59.93	MascSingNom
55	2	word	36.42	MascSingNom
56	2	word	35.69	MascSingNom
57	2	word	137.3	MascSingNom
58	2	word	240.44	MascSingNom
59	2	word	33.73	MascSingNom
60	2	word	68.92	MascSingNom
61	2	word	55.89	FemPlGen
62	2	word	474.87	FemPlGen
63	2	word	185.41	FemPlGen
64	2	word	86.98	FemPlGen
65	2	word	53.5	FemPlGen
66	2	word	106.32	FemPlGen
67	2	word	80.13	FemPlGen
68	2	word	99.9	FemPlGen
69	2	word	29.01	FemPlGen
70	2	word	28.28	FemPlGen
71	2	word	183.45	FemPlGen
72	2	word	158.78	FemPlGen
73	2	word	25.83	FemPlGen
74	2	word	228.44	FemPlGen
75	2	word	191.35	FemPlGen
76	2	word	34.65	FemPlGen
77	2	word	138.34	FemPlGen
78	2	word	44.75	FemPlGen
79	2	word	33.6	FemPlGen
80	2	word	168.09	FemPlGen
81	3	word	28.4	FemSoftEnd
82	3	word	62.5	FemSoftEnd
83	3	word	95.12	FemSoftEnd
84	3	word	173.59	FemSoftEnd
85	3	word	417.21	FemSoftEnd
86	3	word	128.91	FemSoftEnd
87	3	word	36.67	MascSoftEnd
88	3	word	59.5	MascSoftEnd
89	3	word	91.2	MascSoftEnd
90	3	word	308.75	MascSoftEnd
91	3	word	54.17	FemSoftEnd
92	3	word	88.88	FemSoftEnd
93	3	word	117.28	FemSoftEnd
