"Subject","Item","RT","ACC"
2,20000,272.72,1
2,20000,9736.63,1
2,20000,219.34,1
2,20000,282.66,1
2,20000,836.23,1
2,20000,120.27,1
2,20000,705.92,1
2,2001,4000,0
2,1009,4000,0
2,2003,1807.23,1
2,1008,1622.98,1
2,2009,2206.32,0
2,1011,1485.44,1
2,2011,2066.35,0
2,2007,1295.01,0
2,2005,1852.23,1
2,2004,2497.88,1
2,2010,2677.2,0
2,20000,3119.96,1
2,1003,4000,0
2,2002,4000,0
2,2006,4000,0
2,1002,4000,0
2,1012,4000,0
2,2012,4000,0
2,1010,4000,0
2,1007,1960.57,1
2,1005,1866.06,0
2,2008,1439.03,1
2,1001,862.05,1
2,314,1744.04,1
2,175,1586.57,0
2,162,2203.31,1
2,225,1122.42,1
2,331,1166.6,1
2,142,1280.69,1
2,323,1661.93,1
2,1,923.94,1
2,437,1768.42,0
2,285,1113.56,1
2,244,1494.43,0
2,306,1267.34,1
2,43,1377.27,0
2,257,1059.04,1
2,282,1210,1
2,197,1218.72,1
2,284,914.74,1
2,401,1207.23,1
2,363,1135.94,1
2,83,987.44,1
2,330,1037.15,1
2,164,828.81,1
2,255,2037.43,1
2,419,1427.49,1
2,106,1131.19,1
2,373,1326.66,0
2,368,1298.52,1
2,215,1015.07,1
2,299,1271.44,1
2,248,1157.34,1
2,318,1392.12,1
2,399,1161.23,1
2,62,1188,0
2,130,1045.41,1
2,42,949.06,1
2,212,960.17,1
2,417,1243.28,1
2,213,1282.6,1
2,165,1223.85,0
2,344,1135.86,1
2,303,1155.35,0
2,341,1094.14,1
2,316,971.71,1
2,337,1262.12,1
2,290,1804.73,0
2,405,1028.5,1
2,425,1396.83,1
2,84,1069.95,1
2,427,1244.22,1
2,49,1179.48,1
2,171,916.9,0
2,240,1145.43,1
2,199,2028.86,0
2,400,1187.61,1
2,416,1685,0
2,408,2089.59,0
2,218,1117.56,0
2,127,1241.74,1
2,327,1425.04,1
2,302,1096.77,1
2,328,1406.31,1
2,239,950.71,1
2,296,1489.81,0
2,374,1334.74,1
2,390,1009.9,1
2,319,1386.92,1
2,2,1588.02,1
2,166,892.77,1
2,47,1722.66,1
2,422,2293.84,0
2,376,1057.49,0
2,279,992.49,1
2,266,2178.16,1
2,200,1226.66,1
2,8,1506.67,1
2,123,1086.9,1
2,342,1372.45,1
2,128,1238.23,1
2,192,1509.54,1
2,9,1329.79,0
2,103,1021.65,1
2,311,1141.96,1
2,90,833.47,1
2,146,1161.42,1
2,360,1945.75,1
2,161,1139.96,0
2,182,1247.44,1
2,180,1622.76,0
2,320,2206.11,1
2,105,1037.24,1
2,222,2252.85,0
2,168,985.91,0
2,307,1435.61,1
2,27,2250.61,1
2,436,1319.64,0
2,423,1707.52,1
2,122,1559.39,1
2,435,1217.57,1
2,326,1081.55,1
2,7,1783.11,1
2,322,1303.56,1
