"Subject","Item","RT","ACC"
3,20000,389.62,1
3,20000,261.1,1
3,20000,121.23,1
3,20000,995.3,1
3,1003,1247.43,1
3,2001,1163.89,1
3,1009,979.67,1
3,2003,1058.72,1
3,1008,903.16,1
3,2009,953.44,1
3,1011,1057.78,1
3,20000,4455.13,1
3,20000,165.54,1
3,2005,828.28,1
3,2004,921.22,1
3,2010,1090.89,1
3,1006,998.01,1
3,1004,884.37,1
3,2002,855.34,1
3,2006,739.67,0
3,1002,924.59,1
3,1012,902.28,0
3,2012,1336.61,0
3,1010,1233.77,0
3,1007,1286.93,1
3,1005,1034.06,0
3,2008,1111.12,1
3,1001,824.85,1
3,302,855.93,1
3,420,708.25,1
3,281,1206.5,1
3,174,996.95,0
3,313,947.33,1
3,364,995.67,1
3,166,866.08,1
3,180,1437.72,1
3,286,1050.92,1
3,209,935.31,0
3,13,920.32,1
3,299,1001.99,1
3,59,936.46,0
3,333,1129.38,1
3,215,1058.49,1
3,379,1182.91,1
3,273,893.98,1
3,189,984.36,1
3,135,975.35,0
3,176,1351.08,1
3,156,951.56,1
3,417,1431.93,0
3,384,997.13,1
3,306,835.52,1
3,53,944.49,0
3,248,1032.86,1
3,413,885.89,1
3,271,744.9,0
3,255,793.83,1
3,382,1320.79,1
3,38,994.66,1
3,202,833,1
3,54,966,1
3,405,885.72,1
3,323,928.73,1
3,274,785.72,1
3,184,872.66,1
3,288,828.36,1
3,183,1137.33,0
3,429,1362.42,1
3,172,970.25,0
3,320,1033.95,1
3,194,1055,1
3,301,955.41,1
3,392,1107.88,1
3,272,926.23,0
3,330,831.84,1
3,220,948.81,1
3,414,1037.19,0
3,160,1122.2,1
3,411,1235.97,0
3,399,929.09,1
3,423,1202.12,1
3,36,1152.63,1
3,310,848.98,1
3,421,957.29,1
3,343,957.64,1
3,217,806.01,1
3,71,916.29,1
3,436,1174.01,0
3,383,981.75,1
3,218,940.79,1
3,327,837.82,1
3,409,1498.86,0
3,32,1005.33,1
3,340,1035.7,1
3,92,896.77,1
3,361,1147.1,0
3,277,851.66,1
3,335,1175.84,0
3,58,1103.62,1
3,406,1138.02,0
3,19,979.11,1
3,199,1034.14,1
3,233,1015.19,1
3,270,1172.91,0
3,73,956.68,0
3,377,1141.06,0
3,287,910.14,1
3,358,1280.46,1
3,296,1523.63,0
3,304,933.51,1
3,372,1062.53,0
3,182,1058.26,0
3,407,1089.54,1
3,161,884.58,1
3,338,911.59,1
3,251,1009.26,1
3,307,935.63,1
3,205,1144.65,1
3,282,913.09,1
3,428,1290.76,1
3,284,853.91,1
3,198,970.21,1
3,139,977.9,0
3,155,897.61,1
3,241,915.93,1
3,408,1357.59,0
3,300,1030.11,1
3,226,971.22,1
3,346,1210.93,1
3,318,1040.66,1
3,158,957.7,1
3,231,1142.04,0
3,238,863.13,1
3,94,946.82,1
3,56,1123.13,1
3,373,1268.89,1
3,359,1296.69,0
3,134,939.17,0
3,374,1580.2,1
3,206,1811.49,0
3,312,1042.18,0
3,432,1431.2,0
3,168,860.42,0
3,256,880.72,1
3,276,883.71,1
3,120,942.71,1
3,397,927.73,0
3,345,1112.72,1
3,74,946.46,1
3,240,1090.8,1
3,289,1053.88,0
3,332,946.27,1
3,159,834.63,1
3,291,959.6,1
3,295,863.94,1
3,193,1035.6,1
3,235,1096.66,1
3,285,1163.05,1
3,245,1194.84,1
3,294,1025.27,1
3,35,1158.97,0
3,137,1223.43,0
3,91,981.21,1
3,279,1004.2,1
3,336,1042.58,1
3,316,975.66,1
3,15,1047.36,1
3,317,1227.71,1
3,435,1489.5,0
3,185,1068.73,1
3,16,1024.46,1
3,230,1174.17,0
3,325,1045.94,1
3,152,1210.39,1
3,237,1192.77,1
3,398,943.94,1
3,326,1192.91,1
3,400,1240.02,1
3,132,973.12,1
3,387,1236.84,0
3,401,1425.95,1
3,154,1015.85,1
3,254,1109.51,1
3,229,1207.92,0
3,425,1758.36,1
3,422,1239.06,1
3,250,948.16,1
3,12,1028.57,1
3,412,1378.2,0
3,52,1065.41,1
3,393,1277.11,0
3,187,1216.9,0
3,138,1150.7,1
3,60,983.19,1
3,178,1022.18,1
3,375,1203.88,1
3,402,1154.31,0
3,246,1223.19,0
3,213,1133.01,1
3,410,1334.11,0
3,434,1239.25,0
3,388,972.39,1
3,114,1060.07,1
3,80,1040.42,1
3,33,1021.46,1
3,324,1139.19,1
3,78,1036.31,1
3,93,953.33,1
3,95,857.66,1
3,427,1333.98,1
3,328,1431.13,1
3,437,1116.38,0
3,391,1182.1,0
3,315,1349.2,1
3,369,1237.7,1
3,280,1402.84,1
3,334,1065.33,1
3,368,1125.07,1
3,17,990.83,1
3,396,1413.84,1
3,298,1227.71,1
3,131,1233.55,1
3,170,918.61,0
3,188,1056.29,1
3,31,1140.67,1
3,211,1037.75,1
3,210,954.8,1
3,191,1155.13,1
3,203,1011.59,1
3,319,1033.93,1
3,216,902.96,1
3,419,1569.32,0
3,363,1625.27,1
3,371,1079.2,1
3,133,858.26,1
3,243,846.58,0
3,136,1178.87,1
3,72,961.96,1
3,118,1129.63,1
3,219,1042.71,1
3,79,1063.81,1
3,395,1099.5,1
3,339,1109.9,1
3,360,880.32,0
3,18,1259.28,1
3,39,1359.77,1
3,430,1287.6,0
3,239,1058.73,1
3,415,1247.12,1
3,370,1107.58,1
3,177,949.98,0
3,112,886.38,1
3,362,1121.34,0
3,200,1083.06,1
3,290,846.13,1
3,236,1210.44,0
3,162,1584.25,1
3,257,1087.5,1
3,97,1170.54,0
3,376,1130.35,0
3,381,1115.42,1
3,14,1093.14,1
3,55,968.21,1
3,192,1047.91,1
3,269,932.32,1
3,275,965.3,1
3,308,1036.99,1
3,40,1226.02,1
3,169,1103.81,0
3,77,1114.22,1
3,404,1235.96,0
3,207,1009.08,1
3,157,1183.47,1
3,76,1126.61,1
3,253,1248.29,1
3,331,1172.79,1
3,165,900.53,1
3,394,1398.86,1
